name,position,age,nation,club,value,confederation,league
Bruno Petkovic,Centre-Forward,30,Croatia,Kocaelispor,€3.00m,,SuperLig
Adam Idah,Centre-Forward,24,Ireland,Celtic FC,€6.50m,,Scottish_Premiership
Benjamin Nygren,Right Winger,24,Sweden,Celtic FC,€6.00m,,Scottish_Premiership
Max Aarons,Right-Back,25,England,Rangers FC,€6.00m,,Scottish_Premiership
Paulo Bernardo,Central Midfield,23,Portugal,Celtic FC,€5.50m,,Scottish_Premiership
Callum McGregor,Central Midfield,32,Scotland,Celtic FC,€5.00m,,Scottish_Premiership
Liam Scales,Centre-Back,26,Ireland,Celtic FC,€4.00m,,Scottish_Premiership
John Souttar,Centre-Back,28,Scotland,Rangers FC,€4.00m,,Scottish_Premiership
Cyriel Dessers,Centre-Forward,30,Nigeria,Rangers FC,€4.00m,,Scottish_Premiership
Dujon Sterling,Right-Back,25,England,Rangers FC,€3.50m,,Scottish_Premiership
Ridvan Yilmaz,Left-Back,24,Türkiye,Rangers FC,€3.50m,,Scottish_Premiership
Oscar Cortes,Left Winger,21,Colombia,Rangers FC,€3.00m,,Scottish_Premiership
Nedim Bajrami,Attacking Midfield,26,Albania,Rangers FC,€3.00m,,Scottish_Premiership
Lawrence Shankland,Centre-Forward,29,Scotland,Heart of Midlothian FC,€2.50m,,Scottish_Premiership
Luke McCowan,Central Midfield,27,Scotland,Celtic FC,€2.50m,,Scottish_Premiership
Connor Barron,Central Midfield,22,Scotland,Rangers FC,€2.50m,,Scottish_Premiership
Ben Davies,Centre-Back,29,England,Rangers FC,€2.50m,,Scottish_Premiership
Topi Keskinen,Left Winger,22,Finland,Aberdeen FC,€2.00m,,Scottish_Premiership
Djeidi Gassama,Left Winger,21,France,Rangers FC,€2.00m,,Scottish_Premiership
Thelo Aasgaard,Attacking Midfield,23,Norway,Rangers FC,€2.00m,,Scottish_Premiership
Danilo,Centre-Forward,26,Brazil,Rangers FC,€2.00m,,Scottish_Premiership
Lyall Cameron,Attacking Midfield,22,Scotland,Rangers FC,€1.80m,,Scottish_Premiership
Joe Rothwell,Central Midfield,30,England,Rangers FC,€1.80m,,Scottish_Premiership
David Watson,Central Midfield,20,Scotland,Kilmarnock FC,€1.50m,,Scottish_Premiership
Anthony Ralston,Right-Back,26,Scotland,Celtic FC,€1.50m,,Scottish_Premiership
Slobodan Rubezic,Centre-Back,25,Montenegro,Aberdeen FC,€1.50m,,Scottish_Premiership
Adil Aouchiche,Attacking Midfield,23,France,Aberdeen FC,€1.50m,,Scottish_Premiership
Alexander Jensen,Right-Back,23,Denmark,Aberdeen FC,€1.50m,,Scottish_Premiership
Rabbi Matondo,Right Winger,24,Wales,Rangers FC,€1.50m,,Scottish_Premiership
James Tavernier,Right-Back,33,England,Rangers FC,€1.50m,,Scottish_Premiership
Elie Youan,Left Winger,26,France,Hibernian FC,€1.50m,,Scottish_Premiership
Beni Baningime,Defensive Midfield,26,DR Congo,Heart of Midlothian FC,€1.50m,,Scottish_Premiership
Leighton Clarkson,Attacking Midfield,23,England,Aberdeen FC,€1.30m,,Scottish_Premiership
James Wilson,Centre-Forward,18,Scotland,Heart of Midlothian FC,€1.20m,,Scottish_Premiership
Jamie McGrath,Attacking Midfield,28,Ireland,Hibernian FC,€1.20m,,Scottish_Premiership
Pape Habib Gueye,Centre-Forward,25,Senegal,Aberdeen FC,€1.20m,,Scottish_Premiership
Michael Steinwender,Centre-Back,25,Austria,Heart of Midlothian FC,€1.20m,,Scottish_Premiership
Josh Campbell,Attacking Midfield,25,Scotland,Hibernian FC,€1.20m,,Scottish_Premiership
Kieran Dowell,Attacking Midfield,27,England,Rangers FC,€1.00m,,Scottish_Premiership
Ross McCausland,Right Winger,22,Northern Ireland,Rangers FC,€1.00m,,Scottish_Premiership
Kieron Bowie,Centre-Forward,22,Scotland,Hibernian FC,€1.00m,,Scottish_Premiership
Kristers Tobers,Centre-Back,24,Latvia,Aberdeen FC,€1.00m,,Scottish_Premiership
Ester Sokler,Centre-Forward,26,Slovenia,Aberdeen FC,€1.00m,,Scottish_Premiership
Stephen Welsh,Centre-Back,25,Scotland,Celtic FC,€1.00m,,Scottish_Premiership
Shayden Morris,Right Winger,23,England,Aberdeen FC,€1.00m,,Scottish_Premiership
Rocky Bushiri,Centre-Back,25,DR Congo,Hibernian FC,€900k,,Scottish_Premiership
Lewis Mayo,Centre-Back,25,Scotland,Kilmarnock FC,€850k,,Scottish_Premiership
Liam Kelly,Goalkeeper,29,Scotland,Rangers FC,€800k,,Scottish_Premiership
Leon King,Centre-Back,21,Scotland,Rangers FC,€800k,,Scottish_Premiership
Josh Mulligan,Right Midfield,22,Scotland,Hibernian FC,€800k,,Scottish_Premiership
Nicky Cadden,Left Midfield,28,Scotland,Hibernian FC,€800k,,Scottish_Premiership
Emmanuel Longelo,Left-Back,24,England,Motherwell FC,€800k,,Scottish_Premiership
Bailey Rice,Defensive Midfield,18,Scotland,Rangers FC,€800k,,Scottish_Premiership
Blair Spittal,Central Midfield,29,Scotland,Heart of Midlothian FC,€800k,,Scottish_Premiership
Ibrahim Said,Right Winger,23,Nigeria,Motherwell FC,€800k,,Scottish_Premiership
Frankie Kent,Centre-Back,29,England,Heart of Midlothian FC,€800k,,Scottish_Premiership
Will Ferry,Left Midfield,24,Ireland,Dundee United FC,€800k,,Scottish_Premiership
Vicko Sevelj,Defensive Midfield,24,Croatia,Dundee United FC,€700k,,Scottish_Premiership
Yan Dhanda,Attacking Midfield,26,England,Heart of Midlothian FC,€700k,,Scottish_Premiership
Mark O'Hara,Defensive Midfield,29,Scotland,St. Mirren FC,€700k,,Scottish_Premiership
Joe Newell,Central Midfield,32,England,Hibernian FC,€700k,,Scottish_Premiership
Ross Graham,Centre-Back,24,Scotland,Dundee United FC,€700k,,Scottish_Premiership
Ewan Wilson,Left-Back,20,Scotland,Motherwell FC,€700k,,Scottish_Premiership
Lewis Neilson,Centre-Back,22,Scotland,Falkirk FC,€700k,,Scottish_Premiership
Alfie Dorrington,Centre-Back,20,England,Aberdeen FC,€700k,,Scottish_Premiership
Alasana Manneh,Central Midfield,27,The Gambia,Hibernian FC,€650k,,Scottish_Premiership
Robbie Deas,Centre-Back,25,Scotland,Kilmarnock FC,€650k,,Scottish_Premiership
Dylan Levitt,Central Midfield,24,Wales,Hibernian FC,€650k,,Scottish_Premiership
Ante Palaversa,Defensive Midfield,25,Croatia,Aberdeen FC,€600k,,Scottish_Premiership
Mats Knoester,Centre-Back,26,Netherlands,Aberdeen FC,€600k,,Scottish_Premiership
Ryan Astley,Centre-Back,23,Wales,Dundee FC,€600k,,Scottish_Premiership
Yevgeniy Kucherenko,Goalkeeper,25,Ukraine,Dundee United FC,€600k,,Scottish_Premiership
Chris Cadden,Right-Back,28,Scotland,Hibernian FC,€600k,,Scottish_Premiership
Filip Ugrinic,Central Midfield,26,Switzerland,BSC Young Boys,€7.00m,,Swiss_SuperLeague
Joel Monteiro,Right Midfield,25,Switzerland,BSC Young Boys,€6.00m,,Swiss_SuperLeague
Adrian Leon Barisic,Centre-Back,24,Bosnia-Herzegovina,FC Basel 1893,€5.00m,,Swiss_SuperLeague
Karim Sow,Centre-Back,22,Switzerland,FC Lausanne-Sport,€5.00m,,Swiss_SuperLeague
Christian Witzig,Left Midfield,24,Switzerland,FC St. Gallen 1879,€5.00m,,Swiss_SuperLeague
Koba Koindredi,Central Midfield,23,France,FC Basel 1893,€4.50m,,Swiss_SuperLeague
Finn van Breemen,Centre-Back,22,Netherlands,FC Basel 1893,€4.50m,,Swiss_SuperLeague
Kevin Carlos,Centre-Forward,24,Spain,FC Basel 1893,€4.50m,,Swiss_SuperLeague
Jamie Roche,Defensive Midfield,24,Sweden,FC Lausanne-Sport,€4.50m,,Swiss_SuperLeague
Dominik Schmid,Left-Back,27,Switzerland,FC Basel 1893,€4.00m,,Swiss_SuperLeague
Philip Otele,Left Winger,26,Nigeria,FC Basel 1893,€4.00m,,Swiss_SuperLeague
Timothe Cognat,Central Midfield,27,France,Servette FC,€4.00m,,Swiss_SuperLeague
Meschack Elia,Centre-Forward,27,DR Congo,BSC Young Boys,€4.00m,,Swiss_SuperLeague
Antonios Papadopoulos,Centre-Back,25,Greece,FC Lugano,€3.50m,,Swiss_SuperLeague
Lukasz Lakomy,Central Midfield,24,Poland,BSC Young Boys,€3.50m,,Swiss_SuperLeague
Gregory Wuthrich,Centre-Back,30,Switzerland,BSC Young Boys,€3.50m,,Swiss_SuperLeague
Lars Villiger,Centre-Forward,22,Switzerland,FC Luzern,€3.50m,,Swiss_SuperLeague
Ilyas Chouaref,Left Winger,24,Malta,FC Sion,€3.50m,,Swiss_SuperLeague
Uran Bislimi,Attacking Midfield,25,Switzerland,FC Lugano,€3.00m,,Swiss_SuperLeague
Alexis Antunes,Attacking Midfield,24,Switzerland,Servette FC,€3.00m,,Swiss_SuperLeague
Alan Virginius,Left Winger,22,France,BSC Young Boys,€3.00m,,Swiss_SuperLeague
Darian Males,Right Midfield,24,Switzerland,BSC Young Boys,€3.00m,,Swiss_SuperLeague
Lewin Blum,Right-Back,24,Switzerland,BSC Young Boys,€3.00m,,Swiss_SuperLeague
Edimilson Fernandes,Defensive Midfield,29,Switzerland,BSC Young Boys,€3.00m,,Swiss_SuperLeague
Theo Berdayes,Right Winger,23,Switzerland,FC Sion,€3.00m,,Swiss_SuperLeague
Marin Soticek,Right Winger,20,Croatia,FC Basel 1893,€2.50m,,Swiss_SuperLeague
Anton Miranchuk,Attacking Midfield,29,Russia,FC Sion,€2.50m,,Swiss_SuperLeague
Chris Bedia,Centre-Forward,29,Cote d'Ivoire,BSC Young Boys,€2.50m,,Swiss_SuperLeague
Bung Meng Freimann,Centre-Back,19,Switzerland,FC Luzern,€2.50m,,Swiss_SuperLeague
Xherdan Shaqiri,Attacking Midfield,33,Switzerland,FC Basel 1893,€2.00m,,Swiss_SuperLeague
Yanis Cimignani,Left Midfield,23,France,FC Lugano,€2.00m,,Swiss_SuperLeague
Leo Leroy,Central Midfield,25,France,FC Basel 1893,€2.00m,,Swiss_SuperLeague
Juan Jose Perea,Centre-Forward,25,Colombia,FC Zürich,€2.00m,,Swiss_SuperLeague
Gabriel Sigua,Central Midfield,20,Georgia,FC Basel 1893,€2.00m,,Swiss_SuperLeague
Lukas Mai,Centre-Back,25,Germany,FC Lugano,€2.00m,,Swiss_SuperLeague
Jahnoah Markelo,Right Winger,22,Netherlands,FC Zürich,€2.00m,,Swiss_SuperLeague
Corsin Konietzke,Defensive Midfield,19,Switzerland,FC St. Gallen 1879,€2.00m,,Swiss_SuperLeague
Theo Magnin,Right-Back,21,Switzerland,Servette FC,€2.00m,,Swiss_SuperLeague
Keyan Varela,Left Winger,19,Portugal,Servette FC,€2.00m,,Swiss_SuperLeague
Kastriot Imeri,Central Midfield,25,Switzerland,BSC Young Boys,€2.00m,,Swiss_SuperLeague
Christian Fassnacht,Right Winger,31,Switzerland,BSC Young Boys,€2.00m,,Swiss_SuperLeague
Carlo Boukhalfa,Central Midfield,26,Germany,FC St. Gallen 1879,€2.00m,,Swiss_SuperLeague
Tanguy Zoukrou,Centre-Back,22,France,BSC Young Boys,€1.80m,,Swiss_SuperLeague
Donat Rrudhani,Right Midfield,26,Kosovo,BSC Young Boys,€1.80m,,Swiss_SuperLeague
Levin Winkler,Central Midfield,21,Switzerland,FC Luzern,€1.80m,,Swiss_SuperLeague
Bledian Krasniqi,Attacking Midfield,24,Kosovo,FC Zürich,€1.70m,,Swiss_SuperLeague
Nicolas Vouilloz,Centre-Back,24,Switzerland,FC Basel 1893,€1.50m,,Swiss_SuperLeague
Shkelqim Vladi,Centre-Forward,24,Kosovo,FC Lugano,€1.50m,,Swiss_SuperLeague
Anto Grgic,Central Midfield,28,Switzerland,FC Lugano,€1.50m,,Swiss_SuperLeague
Bradley Mazikou,Left-Back,29,Congo,Servette FC,€1.50m,,Swiss_SuperLeague
Ablie Jallow,Right Midfield,26,The Gambia,Servette FC,€1.50m,,Swiss_SuperLeague
Jonathan Asp Jensen,Attacking Midfield,19,Denmark,Grasshopper Club Zurich,€1.50m,,Swiss_SuperLeague
Nikolas Muci,Centre-Forward,22,Switzerland,Grasshopper Club Zurich,€1.50m,,Swiss_SuperLeague
Noah Persson,Left-Back,22,Sweden,BSC Young Boys,€1.50m,,Swiss_SuperLeague
Cedric Itten,Centre-Forward,28,Switzerland,BSC Young Boys,€1.50m,,Swiss_SuperLeague
Baltazar,Central Midfield,25,Brazil,FC Sion,€1.50m,,Swiss_SuperLeague
Bastien Toma,Central Midfield,26,Switzerland,FC St. Gallen 1879,€1.50m,,Swiss_SuperLeague
Adrian Bajrami,Centre-Back,23,Albania,FC Luzern,€1.50m,,Swiss_SuperLeague
Matthias Phaeton,Left Winger,25,Guadeloupe,FC Zürich,€1.20m,,Swiss_SuperLeague
Steven Zuber,Attacking Midfield,33,Switzerland,FC Zürich,€1.20m,,Swiss_SuperLeague
Umeh Emmanuel,Left Winger,20,Nigeria,FC Zürich,€1.20m,,Swiss_SuperLeague
Mihailo Stevanovic,Central Midfield,23,Serbia,FC St. Gallen 1879,€1.20m,,Swiss_SuperLeague
Teddy Okou,Right Winger,27,France,FC Luzern,€1.20m,,Swiss_SuperLeague
Daniel Dos Santos,Attacking Midfield,22,Switzerland,FC Lugano,€1.20m,,Swiss_SuperLeague
Juan Carlos Gauto,Right Winger,21,Argentina,FC Basel 1893,€1.20m,,Swiss_SuperLeague
Ezgjan Alioski,Left-Back,33,North Macedonia,FC Lugano,€1.20m,,Swiss_SuperLeague
Yoan Severin,Centre-Back,28,France,Servette FC,€1.20m,,Swiss_SuperLeague
Tim Meyer,Defensive Midfield,21,Switzerland,Grasshopper Club Zurich,€1.20m,,Swiss_SuperLeague
Matteo Di Giusto,Attacking Midfield,24,Switzerland,FC Luzern,€1.20m,,Swiss_SuperLeague
Miguel Chaiwa,Defensive Midfield,21,Zambia,BSC Young Boys,€1.20m,,Swiss_SuperLeague
Lukas Gortler,Right Midfield,31,Germany,FC St. Gallen 1879,€1.20m,,Swiss_SuperLeague
Tyron Owusu,Central Midfield,22,Switzerland,FC Luzern,€1.20m,,Swiss_SuperLeague
Yorbe Vertessen,Centre-Forward,24,Belgium,Red Bull Salzburg,€6.00m,,Austria_Bundesliga
Otar Kiteishvili,Attacking Midfield,29,Georgia,SK Sturm Graz,€6.00m,,Austria_Bundesliga
Dejan Zukic,Attacking Midfield,24,Serbia,Wolfsberger AC,€5.00m,,Austria_Bundesliga
Thierno Ballo,Left Winger,23,Austria,Wolfsberger AC,€5.00m,,Austria_Bundesliga
Tomi Horvat,Right Midfield,26,Slovenia,SK Sturm Graz,€5.00m,,Austria_Bundesliga
Serge-Philippe Raux-Yao,Centre-Back,26,France,Rapid Vienna,€5.00m,,Austria_Bundesliga
Kamil Piatkowski,Centre-Back,25,Poland,Red Bull Salzburg,€4.50m,,Austria_Bundesliga
Jon Gorenc Stankovic,Defensive Midfield,29,Slovenia,SK Sturm Graz,€4.00m,,Austria_Bundesliga
Dimitri Lavalee,Left-Back,28,Belgium,SK Sturm Graz,€4.00m,,Austria_Bundesliga
Tochi Chukwuani,Central Midfield,22,Denmark,SK Sturm Graz,€4.00m,,Austria_Bundesliga
Jacob Rasmussen,Centre-Back,28,Denmark,Red Bull Salzburg,€3.50m,,Austria_Bundesliga
Dominik Fitz,Attacking Midfield,26,Austria,Austria Vienna,€3.50m,,Austria_Bundesliga
Aleksa Terzic,Left-Back,25,Serbia,Red Bull Salzburg,€3.50m,,Austria_Bundesliga
Frans Kratzig,Left-Back,22,Germany,Red Bull Salzburg,€3.50m,,Austria_Bundesliga
Max Johnston,Right-Back,21,Scotland,SK Sturm Graz,€3.50m,,Austria_Bundesliga
Erik Kojzek,Centre-Forward,19,Austria,Wolfsberger AC,€3.00m,,Austria_Bundesliga
Petar Ratkov,Centre-Forward,21,Serbia,Red Bull Salzburg,€3.00m,,Austria_Bundesliga
Matthias Seidl,Left Midfield,24,Austria,Rapid Vienna,€3.00m,,Austria_Bundesliga
Johannes Eggestein,Centre-Forward,27,Germany,Austria Vienna,€2.50m,,Austria_Bundesliga
Leon Grgic,Centre-Forward,19,Austria,SK Sturm Graz,€2.50m,,Austria_Bundesliga
Filip Rozga,Attacking Midfield,18,Poland,SK Sturm Graz,€2.50m,,Austria_Bundesliga
Bendeguz Bolla,Right-Back,25,Hungary,Rapid Vienna,€2.50m,,Austria_Bundesliga
Maurice Malone,Centre-Forward,24,Germany,Austria Vienna,€2.20m,,Austria_Bundesliga
Niklas Geyrhofer,Centre-Back,25,Austria,SK Sturm Graz,€2.00m,,Austria_Bundesliga
Emanuel Aiwu,Centre-Back,24,Austria,SK Sturm Graz,€2.00m,,Austria_Bundesliga
Seedy Jatta,Centre-Forward,22,Norway,SK Sturm Graz,€2.00m,,Austria_Bundesliga
Axel Kayombo,Left Winger,19,DR Congo,SK Sturm Graz,€2.00m,,Austria_Bundesliga
Nenad Cvetkovic,Centre-Back,29,Serbia,Rapid Vienna,€2.00m,,Austria_Bundesliga
John Mellberg,Centre-Back,18,Sweden,Red Bull Salzburg,€2.00m,,Austria_Bundesliga
Janis Antiste,Centre-Forward,22,France,Rapid Vienna,€2.00m,,Austria_Bundesliga
Maximilian Entrup,Centre-Forward,28,Austria,LASK,€2.00m,,Austria_Bundesliga
Nikolaus Wurmbrand,Right Winger,19,Austria,Rapid Vienna,€2.00m,,Austria_Bundesliga
Lukas Kacavenda,Attacking Midfield,22,Croatia,LASK,€2.00m,,Austria_Bundesliga
George Bello,Left-Back,23,United States,LASK,€2.00m,,Austria_Bundesliga
Szymon Wlodarczyk,Centre-Forward,22,Poland,SK Sturm Graz,€1.60m,,Austria_Bundesliga
Valentin Sulzbacher,Central Midfield,20,Austria,Red Bull Salzburg,€1.50m,,Austria_Bundesliga
Arjan Malic,Right-Back,19,Bosnia-Herzegovina,SK Sturm Graz,€1.50m,,Austria_Bundesliga
Amady Camara,Centre-Forward,20,Mali,SK Sturm Graz,€1.50m,,Austria_Bundesliga
Lukas Grgic,Defensive Midfield,29,Austria,Rapid Vienna,€1.50m,,Austria_Bundesliga
Jonas Auer,Left-Back,24,Austria,Rapid Vienna,€1.50m,,Austria_Bundesliga
Andrija Radulovic,Right Winger,23,Montenegro,Rapid Vienna,€1.50m,,Austria_Bundesliga
Sascha Horvath,Central Midfield,28,Austria,LASK,€1.50m,,Austria_Bundesliga
Ange Ahoussou,Centre-Back,21,Cote d'Ivoire,Rapid Vienna,€1.50m,,Austria_Bundesliga
Moses Usor,Right Winger,23,Nigeria,LASK,€1.50m,,Austria_Bundesliga
Ismaila Coulibaly,Central Midfield,24,Mali,LASK,€1.50m,,Austria_Bundesliga
Kasper Jorgensen,Right-Back,25,Denmark,LASK,€1.50m,,Austria_Bundesliga
Stefan Lainer,Right-Back,32,Austria,Red Bull Salzburg,€1.20m,,Austria_Bundesliga
Paul Komposch,Centre-Back,24,Austria,TSV Hartberg,€1.20m,,Austria_Bundesliga
Tim Trummer,Right-Back,19,Austria,Red Bull Salzburg,€1.20m,,Austria_Bundesliga
Jannes Horn,Centre-Back,28,Germany,Rapid Vienna,€1.20m,,Austria_Bundesliga
Krystof Danek,Right Winger,22,Czech Republic,LASK,€1.20m,,Austria_Bundesliga
Patrik Mijic,Centre-Forward,26,Croatia,TSV Hartberg,€1.00m,,Austria_Bundesliga
Manfred Fischer,Central Midfield,29,Austria,Austria Vienna,€1.00m,,Austria_Bundesliga
Tio Cipot,Centre-Forward,22,Slovenia,Grazer AK 1902,€1.00m,,Austria_Bundesliga
Donis Avdijaj,Left Winger,28,Kosovo,Wolfsberger AC,€1.00m,,Austria_Bundesliga
Philipp Maybach,Defensive Midfield,17,Austria,Austria Vienna,€1.00m,,Austria_Bundesliga
Jacob Peter Hodl,Right Midfield,18,Austria,SK Sturm Graz,€1.00m,,Austria_Bundesliga
Simon Seidl,Attacking Midfield,22,Austria,FC Blau-Weiss Linz,€1.00m,,Austria_Bundesliga
Jean Marcelin,Centre-Back,25,Madagascar,Rapid Vienna,€1.00m,,Austria_Bundesliga
Alexander Briedl,Defensive Midfield,23,Austria,FC Blau-Weiss Linz,€1.00m,,Austria_Bundesliga
Yusuf Maart,Central Midfield,30,South Africa,SV Ried,€1.00m,,Austria_Bundesliga
Modou Keba Cisse,Centre-Back,19,Senegal,LASK,€1.00m,,Austria_Bundesliga
Art Smakaj,Defensive Midfield,22,Kosovo,LASK,€1.00m,,Austria_Bundesliga
Johannes Handl,Centre-Back,27,Austria,Austria Vienna,€900k,,Austria_Bundesliga
Tin Plavotic,Centre-Back,28,Croatia,Austria Vienna,€900k,,Austria_Bundesliga
Dominik Baumgartner,Centre-Back,29,Austria,Wolfsberger AC,€900k,,Austria_Bundesliga
Karim Onisiwo,Centre-Forward,33,Austria,Red Bull Salzburg,€800k,,Austria_Bundesliga
Valon Berisha,Left Midfield,32,Kosovo,LASK,€800k,,Austria_Bundesliga
Florian Flecker,Right Midfield,29,Austria,LASK,€800k,,Austria_Bundesliga
Ercan Kara,Centre-Forward,29,Austria,Rapid Vienna,€800k,,Austria_Bundesliga
Manprit Sarkaria,Centre-Forward,28,Austria,Austria Vienna,€800k,,Austria_Bundesliga
Boris Matic,Right-Back,20,Serbia,Wolfsberger AC,€800k,,Austria_Bundesliga
Viktor Baier,Goalkeeper,20,Czech Republic,FC Blau-Weiss Linz,€800k,,Austria_Bundesliga
Oliver Sorensen,Central Midfield,23,Denmark,FC Midtjylland,€7.00m,,Danish_Superligaen
Adam Buksa,Centre-Forward,29,Poland,FC Midtjylland,€6.00m,,Danish_Superligaen
Mads Bech Sorensen,Centre-Back,26,Denmark,FC Midtjylland,€5.00m,,Danish_Superligaen
Mohamed Elyounoussi,Right Winger,30,Norway,FC Copenhagen,€5.00m,,Danish_Superligaen
Nicolai Vallys,Attacking Midfield,28,Denmark,Bröndby IF,€5.00m,,Danish_Superligaen
Magnus Mattsson,Central Midfield,26,Denmark,FC Copenhagen,€4.00m,,Danish_Superligaen
Kevin Mbabu,Right-Back,30,Switzerland,FC Midtjylland,€3.50m,,Danish_Superligaen
Mats Kohlert,Left-Back,27,Germany,Bröndby IF,€3.50m,,Danish_Superligaen
Pantelis Hatzidiakos,Centre-Back,28,Greece,FC Copenhagen,€3.20m,,Danish_Superligaen
Aral Simsir,Left Winger,23,Türkiye,FC Midtjylland,€3.00m,,Danish_Superligaen
Viktor Claesson,Centre-Forward,33,Sweden,FC Copenhagen,€3.00m,,Danish_Superligaen
William Clem,Defensive Midfield,21,Denmark,FC Copenhagen,€3.00m,,Danish_Superligaen
Benjamin Tahirovic,Central Midfield,22,Bosnia-Herzegovina,Bröndby IF,€3.00m,,Danish_Superligaen
Mikel Gogorza,Left Winger,18,Denmark,FC Midtjylland,€3.00m,,Danish_Superligaen
Kristian Arnstad,Central Midfield,21,Norway,Aarhus GF,€2.50m,,Danish_Superligaen
Tobias Bech,Centre-Forward,23,Denmark,Aarhus GF,€2.50m,,Danish_Superligaen
Dani Silva,Defensive Midfield,25,Portugal,FC Midtjylland,€2.50m,,Danish_Superligaen
Birger Meling,Left-Back,30,Norway,FC Copenhagen,€2.50m,,Danish_Superligaen
Jordan Larsson,Right Winger,28,Sweden,FC Copenhagen,€2.50m,,Danish_Superligaen
Marcos Lopez,Left-Back,25,Peru,FC Copenhagen,€2.50m,,Danish_Superligaen
Yoram Zague,Right-Back,19,France,FC Copenhagen,€2.50m,,Danish_Superligaen
Frederik Alves,Centre-Back,25,Denmark,Bröndby IF,€2.50m,,Danish_Superligaen
Mark Brink,Defensive Midfield,27,Denmark,FC Nordsjaelland,€2.00m,,Danish_Superligaen
Rasmus Carstensen,Right-Back,24,Denmark,Aarhus GF,€2.00m,,Danish_Superligaen
Mads Emil Madsen,Central Midfield,27,Denmark,Aarhus GF,€2.00m,,Danish_Superligaen
Felix Beijmo,Right Midfield,27,Sweden,Aarhus GF,€2.00m,,Danish_Superligaen
Zidan Sertdemir,Central Midfield,20,Denmark,FC Nordsjaelland,€2.00m,,Danish_Superligaen
Thomas Jorgensen,Central Midfield,19,Denmark,Viborg FF,€2.00m,,Danish_Superligaen
Dominik Sarapata,Central Midfield,17,Poland,FC Copenhagen,€2.00m,,Danish_Superligaen
Jordi Vanlerberghe,Centre-Back,29,Belgium,Bröndby IF,€2.00m,,Danish_Superligaen
Stijn Spierings,Central Midfield,29,Netherlands,Bröndby IF,€2.00m,,Danish_Superligaen
Marko Divkovic,Left-Back,26,Croatia,Bröndby IF,€2.00m,,Danish_Superligaen
Filip Bundgaard,Centre-Forward,21,Denmark,Bröndby IF,€2.00m,,Danish_Superligaen
Eric Kahl,Centre-Back,23,Sweden,Aarhus GF,€1.80m,,Danish_Superligaen
Lukas Lerager,Central Midfield,32,Denmark,FC Copenhagen,€1.80m,,Danish_Superligaen
German Onugkha,Centre-Forward,29,Russia,FC Copenhagen,€1.80m,,Danish_Superligaen
John Bjorkengren,Central Midfield,26,Sweden,Randers FC,€1.70m,,Danish_Superligaen
Younes Bakiz,Left Winger,26,Denmark,Silkeborg IF,€1.70m,,Danish_Superligaen
Pedro Bravo,Central Midfield,20,Colombia,FC Midtjylland,€1.70m,,Danish_Superligaen
Rasmus Lauritsen,Centre-Back,29,Denmark,Bröndby IF,€1.70m,,Danish_Superligaen
Daniel Anyembe,Centre-Back,27,Kenya,Viborg FF,€1.70m,,Danish_Superligaen
